A    AX 
Agora    A G O+ R AX 
Agostinho    A G O S TJ I+ NJ UX 
Agricultura  A G R I K U W T U+ R AX 
Agrária  A G R A+ R I AX 
Agrícola     A G R I+ K O L AX 
Aguiar   A G I A+ RR 
Agência  A Z E~+ S I AX 
Agências     A Z E~+ S I AX S 
Ah   A+ 
Ai   A+ IX 
Aids     A I+ DJ I S 
Ainda    A I~+ D AX 
Ajax     A Z A+ K S 
Ajustar  A Z U S T A+ RR 
Al   A+ W 
Alagoas  A L A G O+ AX S 
Alameda  A L A M E+ D AX 
Alan     A L A~+ 
Alas     A+ L AX S 
Alberto  A W B E+ RR T UX 
Albino   A W B I+ N UX 
Albuquerque  A W B U K E+ RR K IX 
Alcorão  A W K O R A~+ W~ 
Alcântara    A W K A~+ T A R AX 
Ale  A+ L IX 
Alegre   A L E+ G R IX 
Alejandro    A L E Z A~+ D R UX 
Alemanha     A L E M A~+ NJ AX 
Alemã    A L E M A~+ 
Alemães  A L E M A~+ I~ S 
Alemão   A L E M A~+ W~ 
Alencar  A L E~ K A+ RR 
Alessandra   A L E S A~+ D R AX 
Alessandro   A L E S A~+ D R UX 
Alex     A L E+ K S 
Alexandra    A L E SCH A~+ D R AX 
Alexandre    A L E SCH A~+ D R IX 
Alexandro    A L E SCH A~+ D R UX 
Alfa     A+ W F AX 
Alfredo  A W F R E+ D UX 
Alfândega    A W F A~+ D E G AX 
Algarve  A W G A+ RR V IX 
Algodão  A W G O D A~+ W~ 
Algumas  A W G U+ M AX S 
Alguns   A W G U~+ S 
Alguém   A W G E~+ I~ 
Ali  A L I+ 
Aliados  A L I A+ D UX S 
Aliança  A L I A~+ S AX 
Alice    A L I+ S IX 
Alicia   A L I S I+ AX 
Alimentos    A L I M E~+ T UX S 
Alinhados    A L I NJ A+ D UX S 
Aliás    A L I A+ S 
All  A+ L 
Allen    A L E~+ 
Alleyne  A L E+ I N IX 
Allison  A+ L I Z O~ W~ 
Almeida  A W M E+ I D AX 
Almir    A W M I+ RR 
Almodóvar    A W M O D O+ V A RR 
Alonso   A L O~+ S UX 
Alpha    A+ W P AX 
Altares  A W T A+ R IX S 
Alternativa  A W T E RR N A TJ I+ V AX 
Alves    A+ W V IX S 
Alvorada     A W V O R A+ D AX 
Alzheimer    A W Z E I+ M E RR 
Alá  A L A+ 
Além     A L E~+ I~ 
Alô  A L O+ 
Amada    A M A+ D AX 
Amado    A M A+ D UX 
Amanda   A M A~+ D AX 
Amanhã   A M A~ NJ A~+ 
Amaral   A M A R A+ W 
Amarelos     A M A R E+ L UX S 
Amaro    A M A+ R UX 
Amauri   A M A U R I+ 
Amazonas     A M A Z O+ N AX S 
Amazônia     A M A Z O+ N I AX 
Ambas    A~ B AX S 
Ambiente     A~ B I E~+ TJ IX 
Ambos    A~+ B UX S 
Ame  A~+ M IX 
Ameaçado     A M E A S A+ D UX 
Ameaçando    A M E A S A~+ D UX 
America  A M E R I+ K AX 
American     A M E R I K A~+ 
Americano    A M E R I K A~+ N UX 
Americanos   A M E R I K A~+ N UX S 
Amoroso  A M O R O+ Z UX 
Amos     A~+ M UX S 
Amparado     A~ P A R A+ D UX 
Amy  A M I+ 
Amália   A M A+ L I AX 
Amã  A M A~+ 
Amélie   A M E+ L I 
América  A M E+ R I K AX 
Américo  A M E+ R I K UX 
An   A~+ 
Ana  A~+ N AX 
Analistas    A N A L I+ S T AX S 
Ananias  A N A N I+ AX S 
Anderson     A~+ D E RR S O~ W~ 
Andes    A~+ DJ IX S 
Andino   A~ DJ I+ N UX 
Ando     A~+ D UX 
Andrade  A~ D R A+ DJ IX 
Andre    A~+ D R IX 
Andrea   A~ D R E+ AX 
Andreas  A~ D R E+ AX S 
Andrew   A~ D R E+ V 
André    A~ D R E+ 
Andréa   A~ D R E+ AX 
Andréia  A~ D R E+ I AX 
Andy     A~ D I+ 
Angel    A~ Z E+ W 
Angela   A~ Z E+ L AX 
Angeles  A~ Z E+ L IX S 
Angelica     A~ Z E L I+ K AX 
Angelina     A~ Z E L I+ N AX 
Angels   A~ Z E+ W S 
Angola   A~ G O+ L AX 
Angra    A~+ G R AX 
Anhanguera   A~ NJ A~ G E+ R AX 
Anhembi  A~ NJ E~ B I+ 
Anibal   A N I B A+ W 
Anistia  A N I S TJ I+ AX 
Anita    A N I+ T AX 
Aniversário  A N I V E RR S A+ R I UX 
Anna     A~+ N AX 
Anne     A~+ N IX 
Ano  A N UX 
Anselmo  A~ S E+ W M UX 
Antenor  A~ T E N O+ RR 
Anteontem    A~ T E O~+ T E~ I~ 
Antes    A~ TJ IX S 
Anthony  A~ T O N I+ 
Antigos  A~ TJ I+ G UX S 
Antiguidades     A~ TJ I G I D A+ DJ IX S 
Antropologia     A~ T R O P O L O Z I+ AX 
Antunes  A~ T U+ N IX S 
Antártico    A~ T A+ RR TJ I K UX 
Antônio  A~ T O+ N I UX 
Análise  A N A+ L I Z IX 
Análises     A N A+ L I Z IX S 
Aníbal   A N I+ B A W 
Ao   A+ UX 
Aoki     A O K I+ 
Aos  A+ UX S 
Aparecida    A P A R E S I+ D AX 
Aparentemente    A P A R E~ T E M E~+ TJ IX 
Apena    A P E+ N AX 
Apenas   A P E+ N AX S 
Apesar   A P E Z A+ RR 
Aplica   A P L I+ K AX 
Aplicado     A P L I K A+ D UX 
Apoiador     A P O I A D O+ RR 
Apollo   A P O+ L UX 
Apolo    A P O+ L UX 
Apontado     A P O~ T A+ D UX 
Aposentadoria    A P O Z E~ T A D O R I+ AX 
Aposto   A P O+ S T UX 
Apple    A+ P L IX 
Aprovada     A P R O V A+ D AX 
Aprovado     A P R O V A+ D UX 
Aprovação    A P R O V A S A~+ W~ 
Aproveitando     A P R O V E I T A~+ D UX 
Aproveitou   A P R O V E I T O+ 
Após     A P O+ S 
Aquele   A K E+ L IX 
Aqueles  A K E+ L IX S 
Aqui     A K I+ 
Aquilo   A K I+ L UX 
Aquino   A K I+ N UX 
Arabia   A R A B I+ AX 
Aracaju  A R A K A Z U+ 
Arantes  A R A~+ TJ IX S 
Araújo   A R A U+ Z UX 
Arbitragem   A RR B I T R A+ Z E~ I~ 
Arenas   A R E+ N AX S 
Argentina    A RR Z E~ TJ I+ N AX 
Ari  A R I+ 
Ariel    A R I E+ W 
Ariosto  A R I O+ S T UX 
Aristides    A R I S TJ I+ DJ IX S 
Arlindo  A RR L I~+ D UX 
Armadas  A RR M A+ D AX S 
Armado   A RR M A+ D UX 
Armando  A RR M A~+ D UX 
Armstrong    A RR M S T R O~+ G IX 
Army     A RR M I+ 
Arnaldo  A RR N A+ W D UX 
Arqueologia  A RR K E O L O Z I+ AX 
Arquipélago  A RR K I P E+ L A G UX 
Arquitetura  A RR K I T E T U+ R AX 
Arraes   A RR A+ IX S 
Arrigo   A RR I+ G UX 
Art  A+ RR TJ IX 
Artes    A+ RR TJ IX S 
Arthur   A RR T U+ RR 
Articulação  A+ RR TJ I K U L A S A~+ W~ 
Artur    A RR T U+ RR 
Arábia   A R A+ B I AX 
Arábica  A R A+ B I K AX 
As   AX S 
Asa  A+ Z AX 
Asiático     A Z I A+ TJ I K UX 
Asiáticos    A Z I A+ TJ I K UX S 
Assad    A S A+ DJ IX 
Assembléia   A S E~ B L E+ I AX 
Assessores   A S E S O+ R IX S 
Assessoria   A S E S O R I+ AX 
Assim    A S I~+ 
Assinaram    A S I N A+ R A~+ W~ 
Assis    A S I+ S 
Assistência  A S I S T E~+ S I AX 
Associado    A S O S I A+ D UX 
Associação   A S O S I A S A~+ W~ 
Assumo   A S U+ M UX 
Assuntos     A S U~+ T UX S 
Astra    A+ S T R AX 
Astrada  A S T R A+ D AX 
Astronomia   A S T R O N O M I+ AX 
Astronômica  A S T R O N O+ M I K AX 
Astrônomos   A S T R O+ N O M UX S 
Asturias     A S T U R I+ AX S 
Astúrias     A S T U+ R I AX S 
Atar     A T A+ RR 
Atenas   A T E+ N AX S 
Atentado     A T E~ T A+ D UX 
Atento   A T E~+ T UX 
Atividade    A TJ I V I D A+ DJ IX 
Atlanta  A T L A~+ T AX 
Atlas    A+ T L AX S 
Atlântica    A T L A~+ TJ I K AX 
Atlântico    A T L A~+ TJ I K UX 
Atlético     A T L E+ TJ I K UX 
Ato  A T UX 
Através  A T R A V E+ S 
Atrás    A T R A+ S 
Atua     A T U+ AX 
Atualmente   A T U A W M E~+ TJ IX 
Até  A T E+ 
Audiência    A U DJ I E~+ S I AX 
Audrey   A U D R E+ I 
Augusta  A U G U+ S T AX 
Augusto  A U G U+ S T UX 
Aurora   A U R O+ R AX 
Aurélio  A U R E+ L I UX 
Austin   A U S TJ I~+ 
Austrália    A U S T R A+ L I AX 
Automobilismo    A U T O M O B I L I+ Z M UX 
Automóveis   A U T O M O+ V E IX S 
Automóvel    A U T O M O+ V E W 
Autoridade   A U T O R I D A+ DJ IX 
Autêntico    A U T E~+ TJ I K UX 
Autônoma     A U T O+ N O M AX 
Avaliam  A V A L I+ A~+ W~ 
Avaliação    A V A L I A S A~+ W~ 
Aveiro   A V E+ I R UX 
Avenida  A V E N I+ D AX 
Avenue   A V E N U+ IX 
Aviões   A V I O~+ I~ S 
Avô  A V O+ 
Awards   A V A+ RR DJ I S 
Azambuja     A Z A~ B U+ Z AX 
Azeredo  A Z E R E+ D UX 
Azevedo  A Z E V E+ D UX 
Ação     A S A~+ W~ 
Ações    A S O~+ I~ S 
Aérea    A E+ R I AX 
Aéreas   A E+ R I AX S 
Aéreo    A E+ R I UX 
Aéreos   A E+ R I UX S 
Aí   A I+ 
B    B 
BA   B A+ 
BARCELONA    B A RR S E L O N AX 
BBB  B B 
BEIRUTE  B E I R U+ TJ IX 
BELMONTE     B E L M O~ TJ IX 
BIG  B I+ G IX 
BPI  B P I+ 
BRAGA    B R A G A+ 
BREVE    B R E V IX 
BRIGHTON     B R I+ G TJ O~ W~ 
Baba     B A+ B AX 
Babel    B A B E+ W 
Baby     B A B I+ 
Bach     B A+ SCH 
Bacia    B A S I+ AX 
Bacon    B A+ K O~ W~ 
Baden    B A D E~+ 
Bagé     B A Z E+ 
Bahamas  B A A~+ M AX S 
Bahia    B A I+ AX 
Baiano   B A I A~+ N UX 
Bailey   B A I L E+ I 
Baixa    B A+ I SCH AX 
Balanço  B A L A~ S UX 
Balcão   B A W K A~+ W~ 
Bale     B A+ L IX 
Ball     B A+ L 
Ballet   B A L E+ TJ IX 
Balé     B A L E+ 
Banco    B A~+ K UX 
Bancos   B A~+ K UX S 
Band     B A~+ DJ IX 
Bandeira     B A~ D E I R AX 
Bandeirantes     B A~ D E I R A~+ TJ IX S 
Banespa  B A N E+ S P AX 
Bang     B A~+ G IX 
Bangcoc  B A~ G K O+ K IX 
Bangkok  B A~ G K O+ K 
Bar  B A+ RR 
Barbosa  B A RR B O+ Z AX 
Barcelona    B A RR S E L O+ N AX 
Barkley  B A RR K L E+ I 
Barre    B A+ RR IX 
Barrera  B A RR E+ R AX 
Barreto  B A RR E+ T UX 
Barros   B A+ RR UX S 
Barroso  B A RR O+ Z UX 
Barão    B A R A~+ W~ 
Basco    B A+ S K UX 
Base     B A+ Z IX 
Basicamente  B A Z I K A M E~+ TJ IX 
Bass     B A+ S IX 
Basta    B A+ S T AX 
Bastos   B A+ S T UX S 
Bastou   B A S T O+ 
Bat  B A+ TJ IX 
Batalhão     B A T A LJ A~+ W~ 
Batista  B A TJ I+ S T AX 
Batman   B A TJ I M A~+ 
Battaglia    B A T A G L I+ AX 
Be   B E+ 
Beach    B E A+ SCH 
Beatles  B E A+ T L IX S 
Beatrice     B E A T R I+ S IX 
Beatriz  B E A T R I+ S 
Bebeto   B E B E+ T UX 
Bebê     B E B E+ 
Beethoven    B E E T O V E~+ 
Bei  B E+ IX 
Beijou   B E I Z O+ 
Beirute  B E I R U+ TJ IX 
Belem    B E+ L E~ I~ 
Beleza   B E L E+ Z AX 
Belford  B E W F O+ RR DJ IX 
Belgrado     B E W G R A+ D UX 
Belize   B E L I+ Z IX 
Bella    B E+ L AX 
Belo     B E+ L UX 
Belém    B E L E~+ I~ 
Ben  B E~+ 
Benedita     B E N E DJ I+ T AX 
Benedito     B E N E DJ I+ T UX 
Benevides    B E N E V I+ DJ IX S 
Benfica  B E~ F I+ K AX 
Bengala  B E~ G A+ L AX 
Benito   B E N I+ T UX 
Benjamin     B E~ Z A M I~+ 
Benta    B E~+ T AX 
Bento    B E~+ T UX 
Benítez  B E N I+ T E S 
Berlim   B E RR L I~+ 
Berlin   B E RR L I~+ 
Bermuda  B E RR M U+ D AX 
Bermudas     B E RR M U+ D AX S 
Bernardo     B E RR N A+ RR D UX 
Berro    B E+ RR UX 
Best     B E+ S TJ IX 
Bet  B E+ TJ IX 
Beta     B E+ T AX 
Beth     B E+ T 
Bethania     B E T A N I+ AX 
Bethânia     B E T A~+ N I AX 
Beto     B E+ T UX 
Beyond   B E I O~+ DJ IX 
Bezerra  B E Z E+ RR AX 
Bia  B I+ AX 
Bianca   B I A~+ K AX 
Bienal   B I E N A+ W 
Big  B I+ G IX 
Bilac    B I L A+ K IX 
Bilhetes     B I LJ E+ TJ IX S 
Bill     B I+ L 
Billy    B I L I+ 
Bin  B I~+ 
Birthday     B I RR T D A+ I 
Bis  B I+ S 
Bissau   B I S A+ UX 
Black    B L A+ K 
Blake    B L A+ K IX 
Blatter  B L A+ T E RR 
Blau     B L A+ UX 
Blazer   B L A+ Z E RR 
Bloom    B L O O~+ W~ 
Blue     B L U+ IX 
Bo   B O+ 
Boa  B O+ AX 
Bob  B O+ B IX 
Bobby    B O B I+ 
Boca     B O+ K AX 
Bode     B O+ DJ IX 
Boeing   B O E I~+ G IX 
Bolsa    B O+ W S AX 
Bolton   B O+ W T O~ W~ 
Bolívar  B O L I+ V A RR 
Bolívia  B O L I+ V I AX 
Bom  B O~+ W~ 
Bomba    B O~ B AX 
Bombaim  B O~ B A I~+ 
Bon  B O+ N 
Bonita   B O N I+ T AX 
Bonnie   B O~ N I+ IX 
Book     B O O+ K 
Bora     B O+ R AX 
Borba    B O+ RR B AX 
Borges   B O+ RR Z IX S 
Boris    B O R I+ S 
Born     B O+ RR N 
Bosco    B O+ S K UX 
Boston   B O+ S T O~ W~ 
Botafogo     B O T A F O+ G UX 
Botsuana     B O TJ I S U A~+ N AX 
Bovespa  B O V E+ S P AX 
Box  B O+ K S 
Boxe     B O+ SCH IX 
Boy  B O+ I 
Boys     B O+ I S 
Bradesco     B R A D E+ S K UX 
Braga    B R A+ G AX 
Branca   B R A~+ K AX 
Branco   B R A~+ K UX 
Brancos  B R A~+ K UX S 
Brandi   B R A~ DJ I+ 
Brando   B R A~+ D UX 
Brandt   B R A~+ TJ IX 
Brandão  B R A~ D A~+ W~ 
Brasil   B R A Z I+ W 
Brasileira   B R A Z I L E+ I R AX 
Brasileiras  B R A Z I L E+ I R AX S 
Brasileiro   B R A Z I L E+ I R UX 
Brasília     B R A Z I+ L I AX 
Brava    B R A+ V AX 
Bravo    B R A+ V UX 
Braz     B R A+ S 
Breaking     B R E A K I~+ G IX 
Brenda   B R E~+ D AX 
Brian    B R I A~+ 
Brigada  B R I G A+ D AX 
Bright   B R I+ G TJ IX 
Brighton     B R I+ G T O~ W~ 
Brito    B R I+ T UX 
Britânica    B R I T A~+ N I K AX 
Britânico    B R I T A~+ N I K UX 
Britânicos   B R I T A~+ N I K UX S 
Brooke   B R O O+ K IX 
Brooklyn     B R O O K L I+ N 
Brothers     B R O T E+ RR S 
Brown    B R O+ V N 
Bruce    B R U+ S IX 
Bruna    B R U+ N AX 
Bruno    B R U+ N UX 
Bruto    B R U+ T UX 
Bryan    B R I A~+ 
Buarque  B U+ A RR K IX 
Buckingham   B U K I~+ G A~+ W~ 
Buda     B U+ D AX 
Budapeste    B U D A P E+ S TJ IX 
Bueno    B U E+ N UX 
Bulls    B U+ L S 
Bush     B U+ S 
Business     B U Z I N E+ S IX 
Butler   B U+ T L E RR 
Byrd     B I+ RR DJ IX 
Bálcãs   B A+ W K A~ S 
Básica   B A+ Z I K AX 
Bélgica  B E+ W Z I K AX 
Bíblia   B I+ B L I AX 
Bíblica  B I+ B L I K AX 
Bósnia   B O+ Z N I AX 
Bônus    B O+ N UX S 
C    K IX 
CA   K A+ 
CAMBRIDGE    K A~ B R I D Z IX 
CAMPO    K A~ P O+ 
CARLOS   K A RR L UX S 
CARNEIRO     K A RR N E+ I R UX 
CARRO    K A RR O 
CE   S E+ 
CHRISTIANE   SCH R I S TJ I A N IX 
CHUVA    SCH U+ V A+ 
CIA  S I+ AX 
CONTRA   K O~ T R AX 
CORES    K O R IX S 
CRIA     K R I AX 
CRISE    K R I S E+ 
CRISTINA     K R I S TJ I N AX 
CS   K S 
CUT  K U+ TJ IX 
Cabal    K A B A+ W 
Cabelos  K A B E+ L UX S 
Cabo     K A+ B UX 
Cabos    K A+ B UX S 
Cabral   K A B R A+ W 
Cachoeira    K A SCH O E+ I R AX 
Cada     K A+ D AX 
Cade     K A+ DJ IX 
Caetano  K A E T A~+ N UX 
Cafe     K A+ F IX 
Café     K A F E+ 
Caiaque  K A I+ A K IX 
Caio     K A+ I UX 
Cairo    K A+ I R UX 
Caixa    K A+ I SCH AX 
CalDAS   K A W D AX S 
Cala     K A+ L AX 
Caldas   K A+ W D AX S 
Calendário   K A L E~ D A+ R I UX 
Cali     K A L I+ 
Califórnia   K A L I F O+ RR N I AX 
Calle    K A+ L IX 
Calvin   K A W V I~+ 
Camara   K A M A+ R AX 
Camargo  K A M A+ RR G UX 
Cambridge    K A~ B R I+ DJ I Z IX 
Camila   K A M I+ L AX 
Camilo   K A M I+ L UX 
Campanha     K A~ P A~+ NJ AX 
Campeche     K A~ P E+ SCH IX 
Campeã   K A~ P E A~+ 
Campeão  K A~ P E A~+ W~ 
Campeões     K A~ P E O~+ I~ S 
Campinas     K A~ P I+ N AX S 
Campos   K A~+ P UX S 
Campus   K A~ P U+ S 
Cana     K A~+ N AX 
Canada   K A N A+ D AX 
Canadian     K A N A DJ I A~+ 
Canadá   K A N A D A+ 
Cancun   K A~ K U~+ 
Cannes   K A~+ N IX S 
Cano     K A~+ N UX 
Cantão   K A~ T A~+ W~ 
Canudos  K A N U+ D UX S 
Capitalização    K A P I T A L I Z A S A~+ W~ 
Capitão  K A P I T A~+ W~ 
Car  K A+ RR 
Carabina     K A R A B I+ N AX 
Caracas  K A R A+ K AX S 
Caracol  K A R A K O+ W 
Cardeal  K A RR D E A+ W 
Cardoso  K A RR D O+ Z UX 
Care     K A+ R IX 
Careca   K A R E+ K AX 
Caribe   K A R I+ B IX 
Carl     K A+ RR L 
Carla    K A+ RR L AX 
Carlinhos    K A RR L I+ NJ UX S 
Carlos   K A+ RR L UX S 
Carlton  K A+ RR L T O~ W~ 
Carmem   K A+ RR M E~ I~ 
Carmen   K A RR M E~+ 
Carmo    K A+ RR M UX 
Carnegie     K A RR N E Z I+ IX 
Carneiro     K A RR N E+ I R UX 
Carol    K A R O+ W 
Carola   K A R O+ L AX 
Carole   K A R O+ L IX 
Carolina     K A R O L I+ N AX 
Caroline     K A R O L I+ N IX 
Carrasco     K A RR A+ S K UX 
Carro    K A+ RR UX 
Carroll  K A RR O+ L 
Carros   K A+ RR UX S 
Carrossel    K A RR O S E+ W 
Cartas   K A+ RR T AX S 
Carter   K A+ RR T E RR 
Cartum   K A RR T U~+ 
Cartão   K A RR T A~+ W~ 
Cartões  K A RR T O~+ I~ S 
Carvalho     K A RR V A+ LJ UX 
Casa     K A+ Z AX 
Casablanca   K A Z A B L A~+ K AX 
Casal    K A Z A+ W 
Casey    K A Z E+ I 
Casino   K A Z I+ N UX 
Caso     K A+ Z UX 
Cassiano     K A S I A~+ N UX 
Castelo  K A S T E+ L UX 
Castilho     K A S TJ I+ LJ UX 
Castro   K A+ S T R UX 
Cat  K A+ TJ IX 
Catarina     K A T A R I+ N AX 
Catete   K A T E+ TJ IX 
Catherine    K A T E R I+ N IX 
Catorze  K A T O+ RR Z IX 
Catão    K A T A~+ W~ 
Católica     K A T O+ L I K AX 
Católico     K A T O+ L I K UX 
Católicos    K A T O+ L I K UX S 
Cautela  K A U T E+ L AX 
Cavaco   K A V A+ K UX 
Caxias   K A SCH I+ AX S 
Cazaquistão  K A Z A K I S T A~+ W~ 
Caíram   K A I+ R A~+ W~ 
Ceará    S E A R A+ 
Celestial    S E L E S TJ I A+ W 
Celine   S E L I+ N IX 
Celso    S E+ W S UX 
Celtic   S E W TJ I+ K IX 
Cem  S E~ I~ 
Cemitério    S E M I T E+ R I UX 
Centavos     S E~ T A+ V UX S 
Centenas     S E~ T E+ N AX S 
Centenário   S E~ T E N A+ R I UX 
Center   S E~+ T E RR 
Centrais     S E~ T R A+ IX S 
Central  S E~ T R A+ W 
Centro   S E~+ T R UX 
Century  S E~ T U R I+ 
Cerca    S E+ RR K AX 
Cercada  S E+ RR K A+ D AX 
Cerimônia    S E R I M O+ N I AX 
Cerro    S E+ RR UX 
Cesar    S E Z A+ RR 
Chade    SCH A+ DJ IX 
Chaga    SCH A+ G AX 
Chagas   SCH A+ G AX S 
Challenge    SCH A L E~+ Z IX 
Chamas   SCH A~+ M AX S 
Chan     SCH A~+ 
Chang    SCH A~+ G IX 
Chapel   SCH A P E+ W 
Charles  SCH A+ RR L IX S 
Charlie  SCH A RR L I+ IX 
Charlotte    SCH A RR L O+ T IX 
Chaves   SCH A+ V IX S 
Chegou   SCH E G O+ 
Cheguei  SCH E G E+ IX 
Chemical     SCH E M I K A+ W 
Chen     SCH E~+ 
Cherry   SCH E RR I+ 
Chi  SCH I+ 
Chicago  SCH I K A+ G UX 
Chico    SCH I+ K UX 
Chile    SCH I+ L IX 
China    SCH I+ N AX 
Chinesa  SCH I N E+ Z AX 
Chinês   SCH I N E+ S 
Chiquinho    SCH I K I+ NJ UX 
Choque   SCH O+ K IX 
Chris    K R I+ S 
Christiane   K R I S TJ I A~+ N IX 
Christina    K R I S TJ I+ N AX 
Chácara  SCH A+ K A R AX 
Cid  S I+ DJ IX 
Cidadania    S I D A D A N I+ AX 
Cidade   S I D A+ DJ IX 
Cidades  S I D A+ DJ IX S 
Cidadão  S I D A D A~+ W~ 
Cidadãos     S I D A D A~+ W~ S 
Científica   S I E~ TJ I+ F I K AX 
Científicas  S I E~ TJ I+ F I K AX S 
Científico   S I E~ TJ I+ F I K UX 
Cinco    S I~ K UX 
Cinema   S I N E+ M AX 
Cinemateca   S I N E M A T E+ K AX 
Cinematográfica  S I N E M A T O G R A+ F I K AX 
Cinematográficas     S I N E M A T O G R A+ F I K AX S 
Circulação   S I RR K U L A S A~+ W~ 
Ciro     S I+ R UX 
Citara   S I T A+ R AX 
Citou    S I T O+ 
Civil    S I V I+ W 
Civis    S I V I+ S 
Ciência  S I E~+ S I AX 
Ciências     S I E~+ S I AX S 
Clapton  K L A+ P T O~ W~ 
Claramente   K L A R A M E~+ TJ IX 
Clarence     K L A R E~+ S IX 
Clarisse     K L A R I+ S IX 
Classe   K L A+ S IX 
Claude   K L A+ U DJ IX 
Claudinho    K L A U DJ I+ NJ UX 
Claudio  K L A U DJ I+ UX 
Clayton  K L A+ I T O~ W~ 
Cleber   K L E+ B E RR 
Cleveland    K L E V E L A~+ DJ IX 
Clima    K L I+ M AX 
Clio     K L I+ UX 
Club     K L U+ B IX 
Clube    K L U+ B IX 
Clássica     K L A+ S I K AX 
Cláudia  K L A+ U DJ I AX 
Cláudio  K L A+ U DJ I UX 
Cléber   K L E+ B E RR 
Clínica  K L I+ N I K AX 
Clínicas     K L I+ N I K AX S 
Clóvis   K L O+ V IX S 
Co   K O+ 
Coalizão     K O A L I Z A~+ W~ 
Coco     K O+ K UX 
Coelho   K O E+ LJ UX 
Cohen    K O E~+ 
Coimbra  K O+ I~ B R AX 
Coisa    K O+ I Z AX 
Cola     K O+ L AX 
Colaboradores    K O L A B O R A D O+ R IX S 
Colaboração  K O L A B O R A S A~+ W~ 
Colaborou    K O L A B O R O+ 
Colas    K O+ L AX S 
Cole     K O+ L IX 
Colin    K O L I~+ 
College  K O L E+ Z IX 
Collins  K O L I~+ S 
Collor   K O L O+ RR 
Colo     K O+ L UX 
Colombo  K O L O~+ B UX 
Colorado     K O L O R A+ D UX 
Colégio  K O L E+ Z I UX 
Com  K O~+ W~ 
Comandantes  K O M A~ D A~+ TJ IX S 
Comando  K O M A~+ D UX 
Combate  K O~ B A+ TJ IX 
Combo    K O~+ B UX 
Combustíveis     K O~ B U S TJ I+ V E IX S 
Comentário   K O M E~ T A+ R I UX 
Comercio     K O M E RR S I+ UX 
Começamos    K O M E S A~+ M UX S 
Comissionado     K O M I S I O N A+ D UX 
Comissão     K O M I S A~+ W~ 
Comissões    K O M I S O~+ I~ S 
Comité   K O M I T E+ 
Comitê   K O M I T E+ 
Comitês  K O M I T E+ S 
Communication    K O~+ M U N I K A TJ I O~ W~ 
Como     K O+ M UX 
Companhia    K O~ P A~ NJ I+ AX 
Company  K O~ P A N I+ 
Compensação  K O~ P E~ S A S A~+ W~ 
Competitividade  K O~ P E TJ I TJ I V I D A+ DJ IX 
Complementar     K O~ P L E M E~ T A+ RR 
Componentes  K O~ P O N E~+ TJ IX S 
Comprar  K O~ P R A+ RR 
Compras  K O~ P R AX S 
Compreender  K O~ P R E E~+ D E RR 
Comum    K O M U~+ 
Comunicação  K O M U N I K A S A~+ W~ 
Comunicações     K O M U N I K A S O~+ I~ S 
Comunidade   K O M U N I D A+ DJ IX 
Comunista    K O M U N I+ S T AX 
Comunistas   K O M U N I+ S T AX S 
Comércio     K O M E+ RR S I UX 
Concentração     K O~ S E~ T R A S A~+ W~ 
Concorde     K O~ K O+ RR DJ IX 
Concorrência     K O~ K O RR E~+ S I AX 
Condição     K O~ DJ I S A~+ W~ 
